"PARAM_SYNONYM","mean","median","stdev","min","max","n_both_bdl","n_one_bdl"
"Acenaphthene",27.5728571428571,24.78,19.106728059583,5.22,51.53,1,0
"Acenaphthylene",30.15,32.06,16.6098876175207,2.63,48.07,1,0
"Anthracene",27.2471428571429,24.54,19.5296848534786,1.7,55.35,0,1
"Benzo(a)anthracene",19.4125,16.725,9.61076442626407,5.51,33.26,0,0
"Benzo(a)pyrene",19.37625,19.515,12.0031411811361,0.67,34.22,0,0
"Benzo(b)fluoranthene",19.04625,16.655,8.44790580558283,11.7,34.93,0,0
"Benzo(e)pyrene",19.4875,13.32,11.8842004959766,10.43,40.62,0,0
"Benzo(g,h,i)perylene",19.68,13.755,12.3478881942275,7.72,38.1,0,0
"Benzo(k)fluoranthene",16.5757142857143,13.53,11.749239489066,1.05,36.06,0,1
"C1-Chrysenes",22.55,13.635,19.5482363106533,4.22,53.03,0,0
"C1-Fluoranthenes/Pyrenes",17.8942857142857,12.12,12.3998317960942,6.91,38.69,0,1
"C1-Naphthalenes",30.8125,28.61,26.725060871239,0.96,69.3,0,0
"C1-Phenanthrenes/Anthracenes",20.8785714285714,14.49,19.8472041931783,0.74,50.72,1,0
"C2-Chrysenes",17.9728571428571,6.04,22.9907950524304,1.28,61.87,1,0
"C2-Fluoranthenes/Pyrenes",19.8642857142857,12.41,15.3454801783705,5.82,45.84,1,0
"C2-Naphthalenes",40.53,35,20.2905142040971,11.7,67.74,1,0
"C2-Phenanthrenes/Anthracenes",20.3271428571429,13.69,19.6989015889091,0.96,54.53,1,0
"C3-Chrysenes",15.9542857142857,12.76,14.3087547293523,0.56,36.9,1,0
"C3-Fluoranthenes/Pyrenes",20.93,18.76,13.1061397825599,5.85,40.21,1,0
"C3-Naphthalenes",33.3757142857143,20.45,22.1303237339951,7.7,62.44,1,0
"C3-Phenanthrenes/Anthracenes",19.9928571428571,15.58,17.3168133272125,3.16,51.54,1,0
"C4-Chrysenes",12.3466666666667,15.07,7.80963720881664,3.54,18.43,4,1
"C4-Naphthalenes",27.7728571428571,16.04,21.432563009189,6.63,57.03,1,0
"C4-Phenanthrenes/Anthracenes",21.7771428571429,10.84,19.4824183254935,4.32,55.06,1,0
"Chrysene",14.58625,12.215,11.7825560378771,1.35,40.37,0,0
"Dibenz(a,h)anthracene",16.8485714285714,12.01,12.5827586119147,1.89,34.62,1,0
"Fluoranthene",15.54875,12.98,13.8986571165295,0.22,33.96,0,0
"Fluorene",17.67,19.02,8.25148471488616,6.2,28.07,1,0
"Indeno(1,2,3-cd)pyrene",19.71125,15.945,10.8048196091242,10.93,40.88,0,0
"Naphthalene",24.95375,22.385,17.5509510833052,4.48,58.81,0,0
"Perylene",15.04125,10.46,14.3734213418876,3.37,46.47,0,0
"Phenanthrene",22.2925,19.705,16.2870217833534,4.69,47.83,0,0
"Pyrene",16.54,12.28,12.6689586898732,3.37,34.07,0,0
"All PAH compounds",21.3551424963925,19.71125,6.04558900293949,12.3466666666667,40.53,19,4
