"unique_id","top_source"
"IN-CCD","GVEM"
"IN-CCU","TIRE"
"IN-IHC","CCB4"
"IN-PBW","GVEM"
"MI-BAR","UEOD"
"MI-BCK","VAVG"
"MI-CLT","COKE"
"MI-CRM","PIN2"
"MI-GRE","CRE2"
"MI-IND","URBN"
"MI-LRB","UMO2"
"MI-LRH","URBN"
"MI-LRW","CRE1"
"MI-NBC","CRE3"
"MI-PEA","LUBR"
"MI-PLS","FOC2"
"MI-RRB","COA1"
"MI-RRD","WDST"
"MI-RRR","LOIL"
"MI-RRS","DOIL"
"MI-SAG","WDCB"
"MI-SJO","CRE3"
"MI-TBC","DVEM"
"MN-SLR","DVEM"
"NY-ACR","KERO"
"NY-CCI","GRAS"
"NY-GBF","LOIL"
"NY-GRF","PPLT"
"NY-HBK","LOIL"
"NY-ICB","CTR2"
"NY-ICR","GRAS"
"NY-LEY","SAVA"
"NY-NCG","ROAD"
"NY-SCH","CRE4"
"NY-TCR","ASP1"
"OH-CRI","KERO"
"OH-CRM","URBN"
"OH-CRP","UEOG"
"OH-EBR","OAKS"
"OH-MRW","FOC2"
"OH-RRB","RESI"
"OH-RRS","LUBR"
"OH-SCE","RESI"
"OH-SCO","VAVG"
"OH-SCT","COA2"
"OH-TCD","PIN2"
"OH-WBR","UEOG"
"OH-WCI","PIN2"
"WI-ACA","CRE4"
"WI-BRO","SHAL"
"WI-ERG","CTR2"
"WI-GCK","LUBR"
"WI-KKL","UMO2"
"WI-LML","GVEM"
"WI-MAM","COA1"
"WI-MEB","CTD6"
"WI-MEC","CRE3"
"WI-MEF","UEOD"
"WI-MER","WDCB"
"WI-MET","UEOG"
"WI-MIE","BUSH"
"WI-MIM","TUN1"
"WI-MIP","ASP2"
"WI-NRL","UEOG"
"WI-OCM","SAVA"
"WI-RRC","GRAS"
"WI-RRL","KERC"
"WI-RRR","CRE1"
"WI-UCJ","CTD6"
"WI-WMC","UEOG"
