unique_id,sum_EPA16,tec_ratio,pec_ratio,sum_esbtu,perc_toc,parent_alkyl,HMW_LMW
IN-CCD,3028,1.88,0.13,0.42,1.2,3.9,3.3
IN-CCU,191,0.12,0.01,0.09,0.8,0.5,1
IN-IHC,134650,83.63,5.91,4.96,6.8,1,1.3
IN-PBW,367,0.23,0.02,0.11,0.5,3,4.9
MI-BAR,3357,2.08,0.15,1.04,0.5,4.2,5.6
MI-BCK,2243,1.39,0.1,3.71,0.1,8.1,6
MI-CLT,294,0.18,0.01,0.31,0.1,5.1,6.2
MI-CRM,5945,3.69,0.26,0.6,1.4,6.8,7.8
MI-GRE,303,0.19,0.01,NA,NA,3.3,6
MI-IND,1862,1.16,0.08,1.44,0.2,5.5,8.5
MI-KAL,44,0.03,0,0.03,0.2,4,5.7
MI-LRB,664,0.41,0.03,0.08,1.4,3.7,4.8
MI-LRH,219,0.14,0.01,0.18,0.6,0.5,0.5
MI-LRW,30591,19,1.34,5.11,0.9,7.1,4.1
MI-NBC,55,0.03,0,0.11,0.3,1.4,1.3
MI-PEA,1013,0.63,0.04,0.11,1.6,5.3,4.5
MI-PLS,2725,1.69,0.12,3.82,0.1,7,4.8
MI-RRB,1994,1.24,0.09,0.28,1.2,3.8,4.1
MI-RRD,14161,8.8,0.62,2.93,0.7,6.9,4.6
MI-RRR,57601,35.78,2.53,3.49,2.3,8.2,11
MI-RRS,11358,7.05,0.5,3.92,0.4,6.8,5.4
MI-SAG,1061,0.66,0.05,0.07,2.2,4.1,5.2
MI-SJO,5894,3.66,0.26,1.09,0.8,4.1,5.3
MI-TBC,12444,7.73,0.55,5.17,0.4,8.4,3.9
MN-SLR,53,0.03,0,0.01,1.4,1,1.3
NY-ACR,10520,6.53,0.46,3.69,0.4,5.9,4.1
NY-CCI,2603,1.62,0.11,0.33,1.4,2.1,3.2
NY-GBF,195788,121.61,8.59,10.47,2.8,6.7,3.9
NY-GRF,544,0.34,0.02,0.12,1.1,2.5,3.6
NY-HBK,35220,21.88,1.54,1.41,3.9,5,4.5
NY-ICB,14537,9.03,0.64,0.43,5.1,6.9,4.7
NY-ICR,50,0.03,0,0.03,0.3,2.2,3.6
NY-LEY,30787,19.12,1.35,0.95,5,4.6,4.9
NY-NCG,1012,0.63,0.04,0.22,0.7,5.1,8.6
NY-SCH,44124,27.41,1.94,3.13,2,7.9,7.2
NY-TCR,2203,1.37,0.1,1.06,0.3,4.6,5.2
OH-CRI,3362,2.09,0.15,1.02,0.6,4.3,1
OH-CRM,1937,1.2,0.08,0.7,0.4,4.8,6.6
OH-CRP,916,0.57,0.04,1.01,0.1,5.4,3.5
OH-EBR,433,0.27,0.02,0.38,0.7,0.3,0.3
OH-MRW,887,0.55,0.04,0.41,0.4,2.2,3.7
OH-RRB,708,0.44,0.03,0.41,1.9,0.2,0.1
OH-RRS,2014,1.25,0.09,0.45,1.4,0.9,0.8
OH-SCE,102,0.06,0,0.05,1,0.5,0.5
OH-SCO,78,0.05,0,0.06,0.5,1.6,1.7
OH-SCT,5792,3.6,0.25,0.65,1.4,3.9,3.8
OH-TCD,315,0.2,0.01,0.24,0.6,0.5,0.4
OH-WBR,81,0.05,0,0.12,0.5,0.3,0.3
OH-WCI,2356,1.46,0.1,0.31,1.9,1.4,1
WI-ACA,1622,1.01,0.07,0.13,1.8,6.1,11.8
WI-BRO,7,0,0,0.01,0.3,11,11.4
WI-ERG,3840,2.39,0.17,0.23,2.5,4.8,6.9
WI-GCK,149,0.09,0.01,0.09,0.3,5.1,9.2
WI-KKL,54228,33.68,2.38,3.5,2.4,6.2,4.5
WI-LML,16282,10.11,0.71,0.71,3.8,3.3,4.2
WI-MAM,62,0.04,0,0.02,1.1,0.9,1.2
WI-MEB,9534,5.92,0.42,0.53,2.8,5.5,5.3
WI-MEC,29926,18.59,1.31,2.24,2,6.6,5.4
WI-MEF,281,0.17,0.01,0.01,8.8,2.6,3.5
WI-MER,26520,16.47,1.16,1.84,2.1,6.6,5.7
WI-MET,15505,9.63,0.68,1.02,2.3,6.6,4.9
WI-MIE,13426,8.34,0.59,1.04,2.1,3.7,4.2
WI-MIM,24970,15.51,1.1,0.76,5.1,4.5,5
WI-MIP,6677,4.15,0.29,0.14,7,5.4,7.3
WI-NRL,9552,5.93,0.42,1.82,0.7,7.1,11
WI-OCM,24475,15.2,1.07,2.34,1.6,5.1,4.4
WI-RRC,5564,3.46,0.24,0.2,4.2,4.9,6.4
WI-RRL,5229,3.25,0.23,1.19,0.7,5.4,6.6
WI-RRR,548,0.34,0.02,0.07,1.1,4,6.9
WI-UCJ,46784,29.06,2.05,3.29,2.1,7.6,5.1
WI-WMC,2667,1.66,0.12,0.22,2,4.1,5.2
,,,,,,,
min,7,0,0,0.01,0.1,0.2,0.1
median ,2603,1.62,0.11,0.44,1.15,4.6,4.7
mean,13328.64789,8.278732394,0.584084507,1.259,1.675714286,4.374647887,4.653521127
sd,29803.88626,18.5118599,1.30798818,1.796580609,1.751226131,2.411680997,2.721282838
max,195788,121.61,8.59,10.47,8.8,11,11.8
,,,,,,,
pct > 1,100,61.97183099,18.30985915,38.02816901,53.52112676,84.50704225,85.91549296
pct < 1,,,,,,,
