"compound","pct_recovery"
"Naphthalene",88
"Acenaphthylene",84
"Acenaphthene",88
"Fluorene",89
"Anthracene",82
"Phenanthrene",92
"Fluoranthene",91
"Pyrene",89
NA,87
"Chrysene",86
"Benzo(b)fluoranthene",85
"Benzo(k)fluoranthene",92
"Benzo(e)pyrene",85
"Benzo(a)pyrene",80
"Perylene",65
"Indeno(1,2,3-cd)pyrene",80
"Dibenz(a,h)anthracene",81
"Benzo(g,h,i)perylene",78
"Naphthalene",84
"Acenaphthylene",79
"Acenaphthene",81
"Fluorene",82
"Anthracene",77
"Phenanthrene",85
"Fluoranthene",83
"Pyrene",81
NA,81
"Chrysene",81
"Benzo(b)fluoranthene",79
"Benzo(k)fluoranthene",88
"Benzo(e)pyrene",79
"Benzo(a)pyrene",74
"Perylene",60
"Indeno(1,2,3-cd)pyrene",75
"Dibenz(a,h)anthracene",77
"Benzo(g,h,i)perylene",72
"Naphthalene",76
"Acenaphthylene",73
"Acenaphthene",74
"Fluorene",75
"Anthracene",71
"Phenanthrene",78
"Fluoranthene",76
"Pyrene",75
NA,75
"Chrysene",74
"Benzo(b)fluoranthene",72
"Benzo(k)fluoranthene",79
"Benzo(e)pyrene",72
"Benzo(a)pyrene",71
"Perylene",60
"Indeno(1,2,3-cd)pyrene",67
"Dibenz(a,h)anthracene",67
"Benzo(g,h,i)perylene",64
"Naphthalene",82
"Acenaphthylene",79
"Acenaphthene",80
"Fluorene",80
"Anthracene",77
"Phenanthrene",84
"Fluoranthene",84
"Pyrene",83
NA,81
"Chrysene",82
"Benzo(b)fluoranthene",79
"Benzo(k)fluoranthene",87
"Benzo(e)pyrene",79
"Benzo(a)pyrene",77
"Perylene",67
"Indeno(1,2,3-cd)pyrene",79
"Dibenz(a,h)anthracene",76
"Benzo(g,h,i)perylene",75
"Naphthalene",86
"Acenaphthylene",88
"Acenaphthene",88
"Fluorene",91
"Anthracene",90
"Phenanthrene",94
"Fluoranthene",96
"Pyrene",92
NA,94
"Chrysene",92
"Benzo(b)fluoranthene",91
"Benzo(k)fluoranthene",99
"Benzo(e)pyrene",85
"Benzo(a)pyrene",86
"Perylene",71
"Indeno(1,2,3-cd)pyrene",90
"Dibenz(a,h)anthracene",87
"Benzo(g,h,i)perylene",78
"Naphthalene",85
"Acenaphthylene",87
"Acenaphthene",87
"Fluorene",90
"Anthracene",87
"Phenanthrene",93
"Fluoranthene",93
"Pyrene",89
NA,93
"Chrysene",90
"Benzo(b)fluoranthene",88
"Benzo(k)fluoranthene",96
"Benzo(e)pyrene",83
"Benzo(a)pyrene",84
"Perylene",70
"Indeno(1,2,3-cd)pyrene",86
"Dibenz(a,h)anthracene",85
"Benzo(g,h,i)perylene",77
"Naphthalene",70
"Acenaphthylene",72
"Acenaphthene",72
"Fluorene",75
"Anthracene",73
"Phenanthrene",76
"Fluoranthene",78
"Pyrene",74
NA,76
"Chrysene",72
"Benzo(b)fluoranthene",74
"Benzo(k)fluoranthene",80
"Benzo(e)pyrene",70
"Benzo(a)pyrene",70
"Perylene",60
"Indeno(1,2,3-cd)pyrene",73
"Dibenz(a,h)anthracene",74
"Benzo(g,h,i)perylene",71
"Naphthalene",61
"Acenaphthylene",63
"Acenaphthene",63
"Fluorene",66
"Anthracene",64
"Phenanthrene",67
"Fluoranthene",68
"Pyrene",65
NA,67
"Chrysene",64
"Benzo(b)fluoranthene",65
"Benzo(k)fluoranthene",72
"Benzo(e)pyrene",63
"Benzo(a)pyrene",62
"Perylene",54
"Indeno(1,2,3-cd)pyrene",64
"Dibenz(a,h)anthracene",65
"Benzo(g,h,i)perylene",62
