"PARAM_SYNONYM","CAS_NUM","ANALYSIS_METH","pcode","pcode_SLOH"
"Acenaphthene","83-32-9","BDO-5-157","64108",34208
"Acenaphthylene","208-96-8","BDO-5-157","64109",34203
"Anthracene","120-12-7","BDO-5-157","63180",34223
"Benzo(a)anthracene","56-55-3","BDO-5-157","63610",34529
"Benzo(a)pyrene","50-32-8","BDO-5-157","63183",34250
"Benzo(b)fluoranthene","205-99-2","BDO-5-157","64111",NA
"Benzo(e)pyrene","192-97-2","BDO-5-157","64112",62555
"Benzo(g,h,i)perylene","191-24-2","BDO-5-157","64113",34524
"Benzo(k)fluoranthene","207-08-9","BDO-5-157","64114",34245
"C1-Chrysenes","BDO-80","BDO-5-157","68083",NA
"C1-Fluoranthenes/Pyrenes","BDO-77","BDO-5-157","64132",NA
"C1-Fluorenes","BDO-66","BDO-5-157",NA,NA
"C1-Naphthalenes","BDO-62","BDO-5-157","64122",NA
"C1-Phenanthrenes/Anthracenes","BDO-69","BDO-5-157","64127",NA
"C2-Chrysenes","BDO-81","BDO-5-157","68086",NA
"C2-Fluoranthenes/Pyrenes","BDO-78","BDO-5-157","64133",NA
"C2-Fluorenes","BDO-67","BDO-5-157",NA,NA
"C2-Naphthalenes","BDO-63","BDO-5-157","64123",NA
"C2-Phenanthrenes/Anthracenes","BDO-70","BDO-5-157","64128",NA
"C3-Chrysenes","BDO-82","BDO-5-157","68089",NA
"C3-Fluoranthenes/Pyrenes","BDO-79","BDO-5-157","64134",NA
"C3-Fluorenes","BDO-68","BDO-5-157",NA,NA
"C3-Naphthalenes","BDO-64","BDO-5-157","64124",NA
"C3-Phenanthrenes/Anthracenes","BDO-71","BDO-5-157","64129",NA
"C4-Chrysenes","BDO-83","BDO-5-157","68092",NA
"C4-Naphthalenes","BDO-65","BDO-5-157","64125",NA
"C4-Phenanthrenes/Anthracenes","BDO-72","BDO-5-157","64130",NA
"Chrysene","218-01-9","BDO-5-157","64115",34323
"Dibenz(a,h)anthracene","53-70-3","BDO-5-157","64116",34559
"Fluoranthene","206-44-0","BDO-5-157","63208",34379
"Fluorene","86-73-7","BDO-5-157","64107",34384
"Indeno(1,2,3-cd)pyrene","193-39-5","BDO-5-157","64118",34406
"Naphthalene","91-20-3","BDO-5-157","63220",34445
"Perylene","198-55-0","BDO-5-157","64120",NA
"Phenanthrene","85-01-8","BDO-5-157","63224",34464
"Pyrene","129-00-0","BDO-5-157","63227",34472
