INDIANA,,WISCONSIN,,NEW YORK,
CCD,"COFFEE CREEK AT CHESTERTON, INDIANA",ACA,"ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",ACR,ALLEN CREEK NEAR ROCHESTER NY
CCU,"COFFEE CR DS OF 1100 N NR CHESTERTON, IN",BRO,"BAD RIVER NEAR ODANAH, WI",CCI,CASCADILLA CREEK AT ITHACA NY
IHC,"INDIANA HARBOR CANAL AT EAST CHICAGO, IN",ERG,"EAST RIVER BELOW CEDAR ST AT GREEN BAY, WI",GBF,GEDDES BROOK AT FAIRMOUNT NY
PBW,"PORTAGE-BURNS WATERWAY AT PORTAGE, IN",GCK,"GARNERS CREEK AT PARK STREET AT KAUKAUNA, WI",GRF,"GENESEE RIVER AT FORD STREET BRIDGE, ROCHESTER NY"
,,KKL,"Kinnickinnic River at Lincoln Ave at Milwaukee, WI",HBK,"HARBOR BROOK AT HIAWATHA BOULEVARD, SYRACUSE NY"
MICHIGAN,,LML,"LITTLE MENOMONEE River AT LOVERS LN AT MILWAUKEE, WI",ICB,IRONDEQUOIT CR ABOVE BLOSSOM RD NEAR ROCHESTER NY
BAR,"BEAR CREEK IMMED. DS AT MILLER DRAIN AT WARREN, MI",MAM,"MANITOWOC RIVER AT MANITOWOC, WI",ICR,IRONDEQUOIT CR AT RAILROAD MILLS NEAR FISHERS NY
BCK,"BUCK CREEK AT STATE HWY M-21 AT GRANDVILLE, MI",MEB,"MENOMONEE RIVER AT BUTLER, WI",LEY,LEY CR AT LEMOYNE AND FACTORY AT MATTYDALE NY
CLT,"Cinton River at Sterling Heights, MI",MEC,"Menomonee River Above Church St. at Wauwatosa, WI",NCG,NORTHRUP CREEK AT NORTH GREECE NY
GRE,"GRAND RIVER AT EASTMANVILLE, MI",MEF,"Menomonee River at CTH F near Germantown, WI",SCH,SLATER CR AT HOJACK INDUSTRIAL PK AT MOUNT READ NY
IND,"Indian Mill Creek at Turner Ave at Grand Rapids, MI",MER,"MENOMONEE RIVER AT RIDGE BLVD AT WAUWATOSA, WI",TCR,THOMAS CREEK AT EAST ROCHESTER NY
KAL,"Kalamazoo River at New Richmond, MI",MET,"Menomonee River near N. 25th St. at Milwaukee, WI",,
LRB,"LOWER RIVER ROUGE AT BECK ROAD NEAR SHELDON, MI",MIE,"MILWAUKEE RIVER AT MILWAUKEE, WI",OHIO,
LRH,"LOWER RIVER ROUGE AT HAGGERTY RD AT WAYNE, MI",MIM,"MILWAUKEE RIVER AT MOUTH AT MILWAUKEE, WI",CRI,"Cuyahoga River at Independence , OH"
LRW,"LOWER RIVER ROUGE AT WAYNE ROAD AT WAYNE, MI",MIP,Milwaukee River at Walnut Street at Milwaukee,CRP,Cuyahoga River at Old Portage OH
NBC,"NORTH BRANCH CLINTON RIVER NEAR MT. CLEMENS, MI",NRL,"NORTHRIDGE LAKE SITE NTR.1 nr MILWAUKEE,WI",EBR,East Branch Rocky River at W Center St in Berea OH
PEA,"PEACOCK DITCH AT GRAND RIVER AVENUE NR IONIA, MI",OCM,"Oak Creek at Mill Pond at South Milwaukee, WI",MRW,"Maumee River at Waterville , OH"
PLS,"PLASTER CREEK AT 28TH STREET AT GRAND RAPIDS, MI",RRC,"Root River near Clayton Park at Racine, WI",SCE,Swan Creek at Township Road EF near Swanton OH
RRD,"RIVER ROUGE AT DETROIT, MI",RRL,"ROOT RIVER AT LAYTON AVENUE AT GREENFIELD, WI",SCO,Swan Creek at Oak Openings Metropark OH
SAG,"Saginaw River at Saginaw, MI",UCJ,"Underwood Creek at Juneau Blvd. at Elm Grove, WI",SCT,Swan Creek at Toledo OH
SJO,"St. Joseph River at Niles, MI",WMC,"WEST BR MUD CREEK BELOW CTH BB AT APPLETON, WI",TCD,Tinkers C at Dunham Rd nr Independence OH
TBC,"TRIB TO BUCK CREEK AT DIVISION AVE AT WYOMING, MI",RRR,"Root River near Franklin, WI",WBR,West Branch Rocky River near Medina
CRM,"Clinton River at Moravian Drive at Mount Clemens, MI",,,WCI,West Creek at Independence OH
RRB,"RIVER ROUGE AT BIRMINGHAM, MI",MINNESOTA,,CRM,CUYAHOGA R AT MUNROE FALLS OH
RRR,"RED RUN AT RYAN ROAD NEAR WARREN, MI",SLR,"ST. LOUIS RIVER AT SCANLON, MN",RRB,"Rocky River near Berea, OH"
RRS,"RED RUN AT 15 MILE ROAD AT STERLING HEIGHTS, MI",,,RRS,Rocky River above STP near Lakewood OH
,,,,,
