"source","median"
"ASP2",0.278782341948822
"CCB1",0.154803496443259
"COKE",0.292635367635964
"CRE2",0.68224247046919
"CRE4",0.875800291199894
"CTD7",0.070436655270918
"CTR0",0.483417927523767
"DVEM",0.403323227937041
"FOC1",0.47683333943565
"GVEM",0.224320607078095
"OAKS",0.977853858261368
"PIN1",0.229378837595122
"PIN2",0.173601844206984
"PPLT",0.263106004380549
"RESI",0.583393057060493
"TIRE",0.651743716381376
"TUN1",0.148403963837101
"UMO1",0.73996419957496
"UMO2",0.556114728404402
"VAVG",0.11483888609739
